identifier,latitude,longitude,resource,taille
137,46.7,7.21,RESOURCE_AMBER,12.1726141
116,46.92,26.36,RESOURCE_AMBER,8.682368589
18,47.33,11.1,RESOURCE_AMBER,10.96049629
122,47.41,142.81,RESOURCE_AMBER,12.39411116
181,47.42,-120.31,RESOURCE_AMBER,10.24782166
182,47.49,-121.95,RESOURCE_AMBER,10.64318429
10,47.62,13.2,RESOURCE_AMBER,12.27883972
15,47.66,14.8,RESOURCE_AMBER,12.43844944
26,48.04,14.42,RESOURCE_AMBER,12.38332303
8,48.11,16.23,RESOURCE_AMBER,12.65093153
42,48.58,2.18,RESOURCE_AMBER,12.63271199
124,49.09,20.18,RESOURCE_AMBER,11.74759434
31,49.46,-120.53,RESOURCE_AMBER,11.78542283
141,49.72,23.92,RESOURCE_AMBER,11.59839649
35,50.4,13.35,RESOURCE_AMBER,11.70414895
29,50.41,4.22,RESOURCE_AMBER,12.74771356
37,50.53,13.57,RESOURCE_AMBER,9.824498456
140,50.7,-1.51,RESOURCE_AMBER,12.39607711
109,50.79,16.26,RESOURCE_AMBER,12.71860282
52,50.86,12.17,RESOURCE_AMBER,9.51088931
111,51.13,17.03,RESOURCE_AMBER,12.71834522
139,51.5,-0.19,RESOURCE_AMBER,12.39625076
49,51.61,12.37,RESOURCE_AMBER,9.421735176
113,51.63,22.78,RESOURCE_AMBER,12.9454806
45,52.33,13.68,RESOURCE_AMBER,11.12743944
43,52.54,13.26,RESOURCE_AMBER,12.48730773
46,52.78,14,RESOURCE_AMBER,12.14591916
101,52.95,6.81,RESOURCE_AMBER,12.17407101
33,53.28,-100.35,RESOURCE_AMBER,12.1587871
50,53.53,10.56,RESOURCE_AMBER,11.56949482
143,53.78,-166.58,RESOURCE_AMBER,10.33909382
48,54.03,14.04,RESOURCE_AMBER,11.12735122
120,54.88,19.95,RESOURCE_AMBER,12.39410702
51,54.95,8.32,RESOURCE_AMBER,11.13818838
136,55.39,14.07,RESOURCE_AMBER,12.92435624
135,55.45,13.01,RESOURCE_AMBER,11.03191751
134,55.53,13.27,RESOURCE_AMBER,11.03279069
89,55.69,21.11,RESOURCE_AMBER,12.6048085
91,55.71,22.33,RESOURCE_AMBER,10.29102627
144,61.61,-149.08,RESOURCE_AMBER,12.32213865
145,65.9,-162.47,RESOURCE_AMBER,10.25301703
6,-30,31,RESOURCE_BANANAS,4.466529486
8,-30,153,RESOURCE_BANANAS,5.200154
14,-29,32,RESOURCE_BANANAS,4.42567585
22,-28,32,RESOURCE_BANANAS,4.531836191
37,-27,33,RESOURCE_BANANAS,4.3721323
39,-27,153,RESOURCE_BANANAS,4.6029848
62,-25,-48,RESOURCE_BANANAS,7.734017761
63,-25,-47,RESOURCE_BANANAS,4.333423
88,-24,29,RESOURCE_BANANAS,4.40099435
